collection,name,size,design,dyeing_method,construction,backing,product_type,wood_species,colour,fire_rating,usages,composition
"Plains Five",NPLS131172,7191.700000000001,"Abstract / Random",,,,,,,,Curtain,"55% Polyester 45% Cotton"
Cobra,ca44,7081.23,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
"Plains one + 1",131946,7066,Plain,,,,,,,,"Curtain, Upholstery","70%Viscose & 30%Linen"
Shalimar,sha4321,7066,,,,Non-woven,Textile,,,"ASTM E84 Class A",,
Acappella,AZ52946,7044,Fabric/Silks,,,Osnaburg,Vinyl,,,"ASTM E84 Class A",,
"Mixology Designs",34820433,7032.8,"Abstract / Random",,,,,,,,Curtain,"60% COTTON, 40% POLYESTER, VISCOSE EMBROIDERY"
"Allure Fabrics",30440491,6979.5,Geometric,,,,,,,,Curtain,"78% VISCOSE, 22% POLYESTER"
"Mixology Designs",34840253,6943,"Abstract / Random",,,,,,,,Upholstery,"70% POLYESTER, 30% VISCOSE"
"Allure Fabrics",30400555,6906.3,Embroidery,,,,,,,,Curtain,"70% Viscose - 30 % Linen - Viscose Embroidery"
Nashira,nai4601,6840.099999999999,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Jungle,jua404,6802.5,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Jungle,jua104,6791.65,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
"Blooms Cotton Blend",34921939,6788,"Abstract / Random",,,,,,,,"Curtain, Upholstery","60% COTON 40% POLYESTER"
"Blooms Cotton Blend",34922755,6715,"Abstract / Random",,,,,,,,"Curtain, Upholstery","60% COTON 40% POLYESTER"
Shalimar,sha5317,6701,,,,Non-woven,Textile,,,"ASTM E84 Class A",,
"Plains Five",NPLS131159,6596.3,"Abstract / Random",,,,,,,,Curtain,"55% Polyester 45% Cotton"
Nashira,nai3803,6562.6,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
"Allure Fabrics",30400100,6524,Embroidery,,,,,,,,Curtain,"70% Viscose - 30 % Linen - Viscose Embroidery"
Cobra,ca14,6508.5,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Tomoko,132063,6501.5,Textured,,,,,,,,"Curtain, Upholstery","56%Viscose, 25%Polyester & 19% Cotton"
"Allure Fabrics",30450483,6454,Stripes,,,,,,,,Curtain,"65% LIN, 35% POLYESTER"
Nashira,nai4602,6440.4,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
"Blooms Cotton Blend",34921429,6430.12,"Abstract / Random",,,,,,,,"Curtain, Upholstery","60% COTON 40% POLYESTER"
Milano,"Milano Marine",6420.5,,,,,,,,,Upholstery,"100% Leather"
"Plains Five",NPLS131158,6397.9,"Abstract / Random",,,,,,,,Curtain,"55% Polyester 45% Cotton"
"Allure Fabrics",30420359,6220,Stripes,,,,,,,,Curtain,"100% LIN"
"Plains Five",NPLS131185,6217,"Abstract / Random",,,,,,,,Curtain,"55% Polyester 45% Cotton"
"Allure Fabrics",3080223,6176,Embroidery,,,,,,,,Curtain,"100% LIN, BRODERIE VISCOSE"
"Allure Fabrics",30450284,6031,Stripes,,,,,,,,Curtain,"65% LIN, 35% POLYESTER"
Cobra,ca43,6027.4400000000005,,,,Non-woven,Specialty,,,"ASTM E84 Class A",,
Nashira,nai5606,6020.4,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
"Armstrong Medintech Plus",K811-435,5987.389999999999,Red,,,,"Vinyl Flooring",Red,Rouge,,,
"Carnet De Voyage Fabrics",8000477,5985.5,"Abstract / Random",,,,,,,,Upholstery,"100% coton"
"Mixology Designs",33800215,5968,"Check / Plaid",,,,,,,,Curtain,"64% COTTON, 36% POLYESTER"
Rainbows,raa303,5951,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
Rainbows,raa411,5922.2,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
"Allure Fabrics",30430129,5886.68,Embroidery,,,,,,,,Curtain,"70% VISCOSE, 30% LIN"
"Allure Fabrics",30410351,5782.5,Floral,,,,,,,,Curtain,"55% LIN, 45% COTON"
"Carnet De Voyage Fabrics",8370621,5683.7,Stripes,,,,,,,,Curtain,"60% Cotton, 40% Polyester, viscose embroidery"
"Carnet De Voyage Fabrics",8010256,5653,"Check / Plaid",,,,,,,,Upholstery,"67% acrylique, 22% polyester, 11% viscose"
"Plains Five",NPLS131174,5595.01,"Abstract / Random",,,,,,,,Curtain,"55% Polyester 45% Cotton"
Tomoko,132066,5565,Textured,,,,,,,,"Curtain, Upholstery","56%Viscose, 25%Polyester & 19% Cotton"
Milano,"Milano Stucco",5545.84,,,,,,,,,Upholstery,"100% Leather"
Rainbows,raa402,5535.8,,,,Non-woven,Non-woven,,,"ASTM E84 Class A",,
"Allure Fabrics",30440235,5535,Geometric,,,,,,,,Curtain,"78% VISCOSE, 22% POLYESTER"
"Blooms Cotton Blend",34921327,5323.3,"Abstract / Random",,,,,,,,"Curtain, Upholstery","60% COTON 40% POLYESTER"
"Plains one + 1",131945,5291,Plain,,,,,,,,"Curtain, Upholstery","70%Viscose & 30%Linen"
"Carnet De Voyage Fabrics",8000255,5279,"Abstract / Random",,,,,,,,Upholstery,"100% coton"
"Blooms Cotton Blend",34920511,5249.58,"Abstract / Random",,,,,,,,"Curtain, Upholstery","60% COTON 40% POLYESTER"
Tomoko,132084,5227.4,Textured,,,,,,,,"Curtain, Upholstery","92%Polyester & 8% Cotton"
"Plains Five",NPLS131194,5029.900000000001,"Abstract / Random",,,,,,,,Curtain,"55% Polyester 45% Cotton"
Tomoko,132085,4825.4,Textured,,,,,,,,"Curtain, Upholstery","92%Polyester & 8% Cotton"
"Mixology Designs",34820535,4809.8,"Abstract / Random",,,,,,,,Curtain,"60% COTTON, 40% POLYESTER, VISCOSE EMBROIDERY"
"Blooms Cotton Blend",34921123,4778,"Abstract / Random",,,,,,,,"Curtain, Upholstery","60% COTON 40% POLYESTER"
"Plains one + 1",131944,4770.6,Plain,,,,,,,,"Curtain, Upholstery","70%Viscose & 30%Linen"
"Blooms Cotton Blend",34922347,4718.5,"Abstract / Random",,,,,,,,"Curtain, Upholstery","60% COTON 40% POLYESTER"
"Allure Fabrics",30400227,4661.5,Embroidery,,,,,,,,Curtain,"70% Viscose - 30 % Linen - Viscose Embroidery"
"Mixology Designs",34840457,4628,"Abstract / Random",,,,,,,,Upholstery,"70% POLYESTER, 30% VISCOSE"
"Allure Fabrics",3080112,4589.67,Embroidery,,,,,,,,Curtain,"100% LIN, BRODERIE VISCOSE"
"Carnet De Voyage Fabrics",8360391,4508,"Check / Plaid",,,,,,,,Curtain,"60% Linen, 25% Cotton, 15% Polyester"
"Allure Fabrics",3080345,4475.49,Embroidery,,,,,,,,Curtain,"100% LIN, BRODERIE VISCOSE"
"Carnet De Voyage Fabrics",8370427,4465,Stripes,,,,,,,,Curtain,"60% Cotton, 40% Polyester, viscose embroidery"
"Carnet De Voyage Fabrics",8360412,4453.3,,,,,,,,,Curtain,"60% Linen, 25% Cotton, 15% Polyester"
"Blooms Cotton Blend",34920919,4272,"Abstract / Random",,,,,,,,"Curtain, Upholstery","60% COTON 40% POLYESTER"
"Plains one + 1",131952,4242.5,Plain,,,,,,,,"Curtain, Upholstery","70%Viscose & 30%Linen"
Tomoko,132082,4008.85,Textured,,,,,,,,"Curtain, Upholstery","92%Polyester & 8% Cotton"
"Carnet De Voyage Fabrics",8380495,3917.3199999999997,Stripes,,,,,,,,Curtain,"70% VISCOSE- 30% LINEN VISCOSE EMBROIDERY"
"Blooms Cotton Blend",34922857,3900,"Abstract / Random",,,,,,,,"Curtain, Upholstery","60% COTON 40% POLYESTER"
"Carnet De Voyage Fabrics",8380147,3819.25,Stripes,,,,,,,,Curtain,"70% VISCOSE- 30% LINEN VISCOSE EMBROIDERY"
"Carnet De Voyage Fabrics",8400365,3607.0200000000004,"Check / Plaid",,,,,,,,Curtain,"100% polyester"
"Blooms Cotton Blend",34921735,3342.3,"Abstract / Random",,,,,,,,"Curtain, Upholstery","60% COTON 40% POLYESTER"
